Ano,Queda_nascimento,Mae_30_34,Instrucao_12_mais,Pre_natal_7_mais,Cesario
2011,False,0.18106317538343242,0.16165928703919277,0.6184401516794418,0.5387557951304386
2012,True,0.18851162283290357,0.15503711551382324,0.6235981791199915,0.5573176376128912
2013,True,0.1938704426646171,0.16481729750391375,0.6311253521327818,0.5674245751708856
2014,False,0.19634748103471367,0.175212515408882,0.6511076064424723,0.5707160933189788
2015,False,0.1993758093998412,0.18619737903449696,0.6689201600592605,0.5554769154911304
2016,True,0.19948596822730771,0.1921778271008723,0.6814674512390736,0.5543787061824692
2017,False,0.20309864598850363,0.20345640547015545,0.6963177133022289,0.5570403404469736
2018,False,0.20771786920716676,0.21150251890036734,0.7114726526653715,0.5597958713523336
2019,True,0.20957823853182672,0.21522024262230355,0.7274821554974604,0.5634084725386533
2020,True,0.2085295835935454,0.21836882864544438,0.7137960866604083,0.5727001825198145
2021,True,0.20511254524950684,0.22124522829008972,0.7352251570928934,0.570453469237189
2022,True,0.2089962145607868,0.23374303075764213,0.7524218944203652,0.5812540272033928
2023,True,0.20960002774301145,0.2390183092981145,0.7749669871593208,0.5960859928833367
2024,True,0.21213229677837883,0.24800167712625426,0.7939907110372731,0.6061971767291194
