Região/Unidade da Federação,2010,2024,Queda_%,Cluster
Roraima,9738.0,12090.0,24.15280345040049,0
Mato Grosso,48929.0,55310.0,13.041345623250015,0
Santa Catarina,84611.0,93787.0,10.844925600690217,0
Goiás,87476.0,88867.0,1.5901504412638896,0
Espírito Santo,51853.0,49937.0,-3.69506103793416,0
Mato Grosso do Sul,40132.0,37908.0,-5.541712349247483,0
Tocantins,24471.0,21920.0,-10.424584201708145,0
Amazonas,74188.0,65950.0,-11.104221707014611,0
Paraná,152051.0,131027.0,-13.826939645250608,0
Minas Gerais,255126.0,219819.0,-13.839044236965265,0
Pará,140687.0,118566.0,-15.723556547513272,0
Paraíba,58699.0,49376.0,-15.882723726128214,0
Rondônia,25835.0,21716.0,-15.94348751693439,0
Rio Grande do Sul,133243.0,111988.0,-15.9520575189691,0
Alagoas,54164.0,45436.0,-16.114024075031384,0
Amapá,15008.0,12327.0,-17.863805970149254,0
Ceará,128831.0,105453.0,-18.146253619082366,0
Pernambuco,136591.0,110827.0,-18.862150507720127,0
Sergipe,34016.0,27545.0,-19.02340075258702,0
Piauí,49424.0,39697.0,-19.680721916477825,0
Acre,16495.0,13101.0,-20.575932100636557,0
São Paulo,601352.0,470887.0,-21.695279969136212,1
Maranhão,119566.0,92173.0,-22.91035913219477,0
Rio Grande do Norte,47668.0,36612.0,-23.193756817991105,0
Rio de Janeiro,215262.0,163722.0,-23.942916074365193,0
Bahia,212201.0,160002.0,-24.5988473192869,0
Distrito Federal,44251.0,33282.0,-24.78814038100834,0
