Ano;Queda_nascimento;Mae_30_34;Instrucao_12_mais;Pre_natal_7_mais;Cesario
2011;FALSE;0.09053158769171621;0.07937068338161996;0.3064023259965124;0.2687054607367944
2012;TRUE;0.09425581141645178;0.07571816122918766;0.30845821909298987;0.2780532240985151
2013;TRUE;0.09693522133230854;0.0807726649924398;0.31209782140455306;0.28315112084012994
2014;FALSE;0.09817374051735683;0.08613769397021205;0.323087720805744;0.28496246885551074
2015;FALSE;0.0996879046999206;0.0916790713889003;0.3324618546506773;0.2773761063178587
2016;TRUE;0.09974298411365386;0.09477097767513472;0.3387250682343061;0.2769530757925677
2017;FALSE;0.10154932299425182;0.10028937570441264;0.3465193678201219;0.2783106752612847
2018;FALSE;0.10385893460358338;0.10421174410818314;0.35422770372966167;0.27971868280829576
2019;TRUE;0.10478911926591336;0.10637310267708289;0.3621557126240635;0.28152102419461833
2020;TRUE;0.1042647917967727;0.10801752287882145;0.3550946927727282;0.2861170377397538
2021;TRUE;0.10255627262475342;0.10935093595646933;0.3656864272210873;0.28506862460549676
2022;TRUE;0.1044981072803934;0.11579372830242295;0.3739399560173963;0.2904895231002349
2023;TRUE;0.10480001387150573;0.11870343981815717;0.3858757333770496;0.29792624930248396
2024;TRUE;0.10606614838918942;0.12328293555711341;0.39534345474140187;0.30294978707375514
