UF,Cluster,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Rondônia,1,31307.0,28236.0,29236.0,28809.0,28927.0,28081.0,24925.0,22996.0,26791.0,26083.0,25835.0,27658.0,26513.0,27097.0,27560.0,27918.0,26602.0,27503.0,28091.0,27028.0,25798.0,25439.0,24901.0,23921.0,21716.0
Acre,1,15228.0,14899.0,15841.0,15986.0,16584.0,17482.0,16448.0,16183.0,17994.0,16892.0,16495.0,17817.0,16700.0,17075.0,17139.0,16980.0,15773.0,16358.0,16543.0,16280.0,15142.0,15699.0,14483.0,14473.0,13101.0
Amazonas,1,67646.0,70252.0,70671.0,70751.0,71345.0,73488.0,75584.0,73469.0,75030.0,75729.0,74188.0,76202.0,77434.0,79041.0,81145.0,80097.0,76703.0,78066.0,78087.0,77622.0,75635.0,78454.0,72519.0,70453.0,65950.0
Roraima,1,9744.0,9600.0,8990.0,10160.0,9742.0,9694.0,9592.0,9582.0,10103.0,9673.0,9738.0,9945.0,10601.0,10814.0,11120.0,11412.0,11376.0,11737.0,13344.0,14620.0,13760.0,13901.0,13091.0,13105.0,12090.0
Pará,1,126340.0,134742.0,136000.0,144812.0,142894.0,145540.0,150202.0,150147.0,151262.0,143140.0,140687.0,141974.0,137837.0,139416.0,143503.0,143657.0,137681.0,138684.0,141819.0,138341.0,132938.0,137129.0,128000.0,126152.0,118566.0
Amapá,1,14238.0,14609.0,14196.0,14764.0,13971.0,14205.0,14714.0,14425.0,15105.0,14298.0,15008.0,15114.0,14895.0,15710.0,16271.0,15750.0,15521.0,15399.0,15864.0,15356.0,14633.0,14993.0,13615.0,12948.0,12327.0
Tocantins,1,26205.0,27050.0,26274.0,26053.0,25673.0,26368.0,26028.0,25011.0,25713.0,24911.0,24471.0,25035.0,24395.0,24119.0,24944.0,25110.0,23870.0,24935.0,25480.0,24449.0,23729.0,23747.0,22549.0,23145.0,21920.0
Maranhão,1,100811.0,108527.0,117917.0,127920.0,126518.0,130266.0,127724.0,127307.0,128302.0,123635.0,119566.0,121109.0,116039.0,115000.0,117071.0,117564.0,110493.0,112985.0,117156.0,113317.0,106079.0,108667.0,97964.0,97205.0,92173.0
Piauí,1,58615.0,58588.0,56332.0,55105.0,54747.0,56866.0,55342.0,53214.0,52664.0,50996.0,49424.0,50144.0,47962.0,46419.0,47941.0,49253.0,46986.0,48551.0,49490.0,47933.0,45229.0,45978.0,42247.0,42144.0,39697.0
Ceará,1,143393.0,149067.0,143242.0,140083.0,137335.0,140035.0,135020.0,133839.0,133917.0,131393.0,128831.0,128592.0,126868.0,124876.0,128681.0,132516.0,126246.0,127797.0,131491.0,129185.0,121904.0,120266.0,112308.0,111091.0,105453.0
Rio Grande do Norte,1,56444.0,53526.0,53250.0,52312.0,50805.0,52330.0,48122.0,48072.0,49817.0,48931.0,47668.0,48101.0,46993.0,46798.0,48111.0,49099.0,45366.0,46222.0,48107.0,44031.0,43531.0,43430.0,40037.0,39440.0,36612.0
Paraíba,1,57427.0,64957.0,64006.0,64115.0,62200.0,64294.0,60232.0,59456.0,61964.0,60021.0,58699.0,58741.0,56770.0,56854.0,57535.0,59089.0,56083.0,57493.0,60205.0,57701.0,56379.0,56049.0,50892.0,51531.0,49376.0
Pernambuco,1,163405.0,164104.0,156053.0,151677.0,149631.0,152095.0,146108.0,143095.0,145195.0,141815.0,136591.0,140079.0,141382.0,141453.0,143489.0,145024.0,130733.0,135932.0,138317.0,133359.0,128481.0,126211.0,117437.0,116175.0,110827.0
Alagoas,1,65763.0,67805.0,64457.0,63032.0,59258.0,60662.0,57510.0,57406.0,58076.0,55471.0,54164.0,54281.0,52510.0,52488.0,51859.0,52257.0,48164.0,50368.0,52496.0,49803.0,48341.0,48808.0,45742.0,46543.0,45436.0
Sergipe,1,40716.0,39842.0,37085.0,36884.0,35827.0,37370.0,37061.0,35801.0,36633.0,35109.0,34016.0,34925.0,34108.0,34228.0,34369.0,34917.0,32218.0,33867.0,34256.0,32697.0,31784.0,31206.0,28524.0,29005.0,27545.0
Bahia,1,239530.0,235725.0,237375.0,239017.0,234454.0,231065.0,220187.0,220398.0,221700.0,217727.0,212201.0,215032.0,209999.0,203342.0,204034.0,206655.0,199830.0,204096.0,205332.0,197249.0,188960.0,185459.0,173824.0,170314.0,160002.0
Minas Gerais,1,300958.0,298538.0,284558.0,284904.0,277691.0,277468.0,266143.0,259505.0,260916.0,252676.0,255126.0,259863.0,260544.0,258635.0,267130.0,268305.0,253520.0,260959.0,263640.0,256892.0,247198.0,242136.0,235063.0,233918.0,219819.0
Espírito Santo,1,58380.0,57092.0,55076.0,53417.0,53243.0,52399.0,51449.0,51020.0,51852.0,51457.0,51853.0,53053.0,52835.0,54065.0,56548.0,56941.0,53413.0,55846.0,56721.0,54925.0,53767.0,52493.0,51729.0,52187.0,49937.0
Rio de Janeiro,1,259118.0,242360.0,232232.0,232255.0,229901.0,223094.0,218435.0,216876.0,215844.0,216625.0,215262.0,220603.0,222859.0,224031.0,233584.0,236960.0,219129.0,223224.0,220499.0,207989.0,199124.0,189866.0,180369.0,176145.0,163722.0
São Paulo,2,687779.0,632483.0,623302.0,610555.0,618080.0,618880.0,603368.0,595408.0,601795.0,598473.0,601352.0,610222.0,616608.0,610896.0,625687.0,634026.0,601437.0,611803.0,606146.0,583191.0,552310.0,525239.0,512520.0,503910.0,470887.0
Paraná,1,179462.0,167270.0,165125.0,157333.0,159636.0,160324.0,153598.0,147554.0,151092.0,149217.0,152051.0,152902.0,153945.0,155758.0,159915.0,160947.0,155066.0,157701.0,156201.0,153469.0,146291.0,141976.0,140637.0,139836.0,131027.0
Santa Catarina,1,94828.0,88097.0,85730.0,83177.0,85475.0,84584.0,84133.0,81903.0,85262.0,83489.0,84611.0,87481.0,88772.0,89875.0,93232.0,97223.0,95313.0,98335.0,99609.0,98032.0,97916.0,96499.0,98202.0,96802.0,93787.0
Rio Grande do Sul,1,176719.0,160590.0,155261.0,149165.0,153015.0,147199.0,141331.0,133401.0,135143.0,133652.0,133243.0,137710.0,138941.0,141350.0,143315.0,148359.0,141411.0,141568.0,140047.0,134596.0,130742.0,124446.0,120942.0,120974.0,111988.0
Mato Grosso do Sul,1,40490.0,40070.0,39933.0,39248.0,41567.0,41424.0,39515.0,38621.0,41229.0,40274.0,40132.0,42152.0,42252.0,42296.0,44058.0,44142.0,42432.0,44747.0,44275.0,43695.0,41308.0,42173.0,40485.0,40233.0,37908.0
Mato Grosso,1,49478.0,47575.0,47564.0,48539.0,51205.0,52410.0,49522.0,47382.0,49794.0,48477.0,48929.0,51218.0,51256.0,53039.0,56499.0,56673.0,53531.0,57271.0,58649.0,58852.0,57037.0,57841.0,58169.0,58553.0,55310.0
Goiás,1,94746.0,92979.0,93897.0,92081.0,91231.0,91556.0,87483.0,85159.0,87462.0,87485.0,87476.0,89742.0,93274.0,94822.0,99798.0,100672.0,95563.0,97520.0,98872.0,96112.0,92768.0,90961.0,89745.0,91822.0,88867.0
Distrito Federal,1,47991.0,46891.0,45799.0,46097.0,45593.0,45917.0,45152.0,44098.0,44173.0,43932.0,44251.0,43465.0,43497.0,44530.0,44721.0,46122.0,43340.0,44568.0,44195.0,42422.0,39361.0,38035.0,35928.0,35551.0,33282.0
